HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Derived Mapping,,
7,XTN.7,Local Number,SNM,0,1,IF XTN.1 VALUED,,,ContactPoint[1].extension-contactpoint-local,,string,0,1,,,,,
7,XTN.7,Local Number,SNM,0,1,IF XTN.4 VALUED,,,ContactPoint[2].extension-contactpoint-local,,string,0,1,,,,,
7,XTN.7,Local Number,SNM,0,1,IF XTN.12 NOT EQUALS XTN.1 VALUED AND XTN.1 VALUED,,,ContactPoint[3].extension-contactpoint-local,,string,0,1,,,,,
8,XTN.8,Extension,SNM,0,1,IF XTN.1 VALUED,,,ContactPoint[1].extension-contactpoint-extension,,string,0,1,,,,,
8,XTN.8,Extension,SNM,0,1,IF XTN.4 VALUED,,,ContactPoint[2].extension-contactpoint-extension,,string,0,1,,,,,
8,XTN.8,Extension,SNM,0,1,IF XTN.12 NOT EQUALS XTN.1 VALUED AND XTN.1 VALUED,,,ContactPoint[3].extension-contactpoint-extension,,string,0..1,,,,,,
9,XTN.9,Any Text,ST,0,1,IF XTN.1 VALUED,,,,ContactPoint[1].#ext.text#,string,0..1,,,,,,
9,XTN.9,Any Text,ST,0,1,IF XTN.4 VALUED,,,,ContactPoint[2].#ext.text#,string,0..1,,,,,,
9,XTN.9,Any Text,ST,0,1,IF XTN.12 NOT EQUALS XTN.1 VALUED AND XTN.1 VALUED,,,,ContactPoint[3].#ext.text#,string,0..1,,,,,,
10,XTN.10,Extension Prefix,ST,0,1,,,,,,,,,,,,,
11,XTN.11,Speed Dial Code,ST,0,1,,,,,,,,,,,,,
12,XTN.12,Unformatted Telephone number,ST,0,1,IF XTN.12 NOT EQUALS XTN.1,,,ContactPoint[3].value,,string,0..1,,,,,,
13,XTN.13,Effective Start Date,DTM,0,1,,,,ContactPoint[1].period.start,,dateTime,0..1,,,,,,
13,XTN.13,Effective Start Date,DTM,0,1,,,,ContactPoint[2].period.start,,dateTime,0..1,,,,,,
13,XTN.13,Effective Start Date,DTM,0,1,,,,ContactPoint[3].period.start,,dateTime,0..1,,,,,,
14,XTN.14,Expiration Date,DTM,0,1,,,,ContactPoint[1].period.end,,dateTime,0..1,,,,,,
14,XTN.14,Expiration Date,DTM,0,1,,,,ContactPoint[2].period.end,,dateTime,0..1,,,,,,
14,XTN.14,Expiration Date,DTM,0,1,,,,ContactPoint[3].period.end,,dateTime,0..1,,,,,,
15,XTN.15,Expiration Reason,CWE,0,1,,,,,,,,,,,,,
16,XTN.16,Protection Code,CWE,0,1,,,,,,,,,,,,,
17,XTN.17,Shared Telecommunication Identifier,EI,0,1,,,,,,,,,,,,,
18,XTN.18,Preference Order,NM,0,1,,,,ContactPoint[1].rank,,positiveInt,0..1,,,,,,
18,XTN.18,Preference Order,NM,0,1,,,,ContactPoint[2].rank,,positiveInt,0..1,,,,,,
18,XTN.18,Preference Order,NM,0,1,,,,ContactPoint[3].rank,,positiveInt,0..1,,,,,,
